Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
Black Market,Hybrid,"Black Market is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Black Runtz,Hybrid,"Black Runtz is a hybrid flower with notes of rose, sage, and nutty, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Black Soap,Hybrid,"Black Soap is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Black Trop Cherry,Hybrid,"A grab-and-go hybrid disposable of Black Trop Cherry, the simplest way to vape: flavorful, portable, and zero setup required. Zero setup, all flavor — a sweet, ripe cherry flavor, with a smooth, well-rounded vibe.",,,,,,,
Black Truffle,Hybrid,"Black Truffle is a hybrid pre-roll with notes of tea, apricot, and menthol, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Blackberry,Hybrid,"Small-batch sweet, ripe blackberry gummies with a jewel-soft bite, slow-poured like artisan pâte de fruit and dusted with a delicate sugar sparkle for that perfect candy-shop finish. It blends THC for a classic euphoric lift and CBN to help you relax and ease into rest in a 3:1 ratio. Made to help you relax and find your calm.",,,,,,,
Blackberry Chem OG,Hybrid,"Blackberry Chem OG is a hybrid pre-roll with notes of chemical, berry, and diesel, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Blackberry Cream,Indica,"A boutique infused beverage with sweet, ripe blackberry notes, a refreshing finish, and the kind of flavor that makes it feel like a treat before the effects even arrive. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest. Sip slowly and let the indica infusion settle in at its own pace.",,,,,,,
Blackberry Kush,Indica,"Blackberry Kush is an indica pre-roll with notes of berry, sweet, and earthy, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Blackberry Lemonade,Hybrid,"A refreshing sweet-tart lemonade infused beverage with bright café-style flavor, smooth sweetness, and an easy-drinking cannabis finish. Best enjoyed cold, with plenty of time for the infused finish to arrive.",,,,,,,
blackberry lemonade 2:1,Hybrid,"A boutique infused beverage with sweet-tart lemonade notes, a refreshing finish, and the kind of flavor that makes it feel like a treat before the effects even arrive. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 2:1 ratio. Bright, easy-drinking, and infused for a smooth edible-style experience.",,,,,,,
Blackberry Lemonade Fizz 20:1 CBD,,,,,,,,,
Blackberry Pie,Hybrid,"Ready-to-spark hybrid infused pre-roll of Blackberry Pie, enhanced with concentrate for smoother, slower burning and a serious step up in strength. More potent than flower alone, with more intense effects — with notes of blueberry, berry, and grape, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Blackberry Slush,Hybrid,"Effortless hybrid disposable vape of Blackberry Slush — fully charged out of the box, dialed in for smooth flavor and total convenience. Simple, smooth, portable, a sweet, ripe blackberry flavor, leading into a balanced head-and-body experience.",,,,,,,
blackberry trainwreck,Hybrid,"An artisan sweet, tart raspberry edible made to feel special — rich flavor, soft sweetness, and a cannabis finish that stays smooth and approachable. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:2 ratio. A flavorful hybrid option for customers who want their cannabis wrapped in something genuinely craveable.",,,,,,,
Blackscotti,Hybrid,"A grab-and-go hybrid disposable of Blackscotti, the simplest way to vape: flavorful, portable, and zero setup required. Simple, smooth, portable, a crisp, sweet apple flavor, leading into a smooth, well-rounded vibe.",,,,,,,
Blissberry,Hybrid,"A small-batch sweet, ripe berry edible inspired by old family recipes, fancy sugar, and the kind of flavor people talk about after the first bite. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Blockberry,Hybrid,"Blockberry is a hybrid flower with notes of berry, tree fruit, and grapefruit, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Blood Orange,Hybrid,"A convenient hybrid cartridge carrying Blood Orange's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Flavor on the go, with notes of apricot, orange, and citrus, leading into an even, best-of-both-worlds feel.",,,,,,,
Blood Orange CBN 2:1,Hybrid,"A convenient hybrid cartridge carrying Blood Orange CBN 2:1's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Flavor on the go, a sweet, juicy orange flavor, leading into a smooth, well-rounded vibe.",,,,,,,
Blu Voodoo,Hybrid,"This hybrid disposable carries Blu Voodoo in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Zero setup, all flavor — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe.",,,,,,,
Blue 16,Hybrid,"Solventless hybrid rosin pressed from Blue 16 using nothing but heat and pressure, squeezing fragrant oil straight from the flower — no chemicals, ever. Flavor-forward and full-spectrum, with notes of blueberry and vanilla, leading into a smooth, well-rounded vibe.",,,,,,,
Blue Creamsicle,,,,,,,,,
Blue Dream,Hybrid,"Aromatic hybrid live resin pressed from fresh-frozen Blue Dream, the sweet spot of flavor, potency, and that 'just-harvested' terpene rush. Saucy, vibrant, and intensely aromatic — with notes of berry, blueberry, and sweet, with an even, best-of-both-worlds feel.",,,,,,,
blue frost,Hybrid,"A hybrid vape cartridge filled with Blue Frost oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Convenient and clean, with notes of menthol, cheese, and mint, delivering a versatile, anytime balance.",,,,,,,
Blue Frost & Apple Fritter,,,,,,,,,
Blue Fuego,,,,,,,,,
Blue Glue & Blackberry Kush,,,,,,,,,
Blue Hawaiian,Hybrid,"This infused hybrid pre-roll wraps Blue Hawaiian flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — with notes of tropical, sweet, and blueberry, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Blue Haze,Hybrid,"Effortless hybrid disposable vape of Blue Haze — fully charged out of the box, dialed in for smooth flavor and total convenience. Grab-and-go convenience, with notes of pear, blueberry, and berry, delivering a versatile, anytime balance.",,,,,,,
Blue Jam,Hybrid,"Blue Jam is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Blue Licorice,Hybrid,"Blue Licorice is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Blue Lime Pie,Hybrid,"A hybrid infused blunt built around Blue Lime Pie and enhanced with extract, blended in for a smooth, even burn and an elevated experience. Boosted for extra strength and more intense effects — a tart, crisp lime flavor, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Blue Lobster,Hybrid,"Blue Lobster is a hybrid flower with notes of plum, apple, and blueberry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Blue Note,Hybrid,"Blue Note is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Blue OG,Hybrid,"This infused hybrid pre-roll wraps Blue OG flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — with notes of berry, blueberry, and earthy, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Blue Ox,Indica,"An all-in-one indica disposable vape preloaded with Blue Ox oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Zero setup, all flavor — with notes of blueberry, berry, and coffee, with a slow, mellow wind-down vibe.",,,,,,,
Blue Powerade,Hybrid,"Blue Powerade is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Blue Raspberry,Hybrid,"A lively sweet, tart raspberry beverage with farmers-market fruit energy, balanced sweetness, and cannabis blended in for a relaxed, drinkable experience. It features THC for a classic euphoric lift. Bright, easy-drinking, and infused for a smooth edible-style experience.",,,,,,,
Blue Raspberry Cough,Sativa,"A sativa pre-roll of Blue Raspberry Cough supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — a sweet, tart raspberry flavor, with a bright, heady lift. A little goes a long way.",,,,,,,
Blue Raspberry Cough x Acapulco Gold,,,,,,,,,
Blue Raspberry Max Chill,,,,,,,,,
Blue Raspberry Nano 1:1:1 + Melatonin,,,,,,,,,
Blue Raspberry rush,Hybrid,"This hybrid disposable carries Blue Raspberry rush in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, a sweet, tart raspberry flavor, delivering a balanced head-and-body experience.",,,,,,,
Blue Rasperry,,,,,,,,,
Blue Razz,Hybrid,"These chef-inspired gummies taste like they came from a secret candy kitchen: slow-set, fruit-forward, and infused evenly for a smooth edible experience. It blends CBN to help you relax and ease into rest, CBD to keep things calm and balanced, and THC for a classic euphoric lift in a 2:2:1 ratio. Expect a smooth hybrid edible experience — give it time to bloom before taking more.",,,,,,,
Blue Slushie,Hybrid,"Blue Slushie is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Blue Tangie,,,,,,,,,
Blue Widow,Hybrid,"Effortless hybrid disposable vape of Blue Widow — fully charged out of the box, dialed in for smooth flavor and total convenience. Simple, smooth, portable, with notes of blueberry, berry, and sweet, leading into an even, best-of-both-worlds feel.",,,,,,,
Blue Zoap,Hybrid,"Blue Zoap is a hybrid flower with notes of blueberry, chemical, and vanilla, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Blue Zushi,Hybrid,"This hybrid disposable carries Blue Zushi in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, with notes of mint, flowery, and berry, delivering an even, best-of-both-worlds feel.",,,,,,,
Blue Zushi x Sugar Cane,Hybrid,"Portable hybrid vape cart of Blue Zushi x Sugar Cane, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Smooth, discreet, and flavorful — with notes of mint, flowery, and berry, with a smooth, well-rounded vibe.",,,,,,,
Blueberry,Indica,"Soft sweet, ripe blueberry gummies with a farmers-market fruit character, a glossy confectioner’s finish, and a cannabis infusion folded in as smoothly as a secret family recipe. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest in a 1:1:1 ratio. Made for anyone who wants their edible to feel less like a dose and more like a little indulgence.",,,,,,,
Blueberry Acai 2:1:1,Hybrid,"A refreshing sweet, ripe blueberry infused beverage with bright café-style flavor, smooth sweetness, and an easy-drinking cannabis finish. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest in a 2:1:1 ratio. A refreshing hybrid option for customers who prefer their cannabis in a drinkable format.",,,,,,,
Blueberry AK47,Hybrid,"An all-in-one hybrid disposable vape preloaded with Blueberry AK47 oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Grab-and-go convenience, with notes of blueberry, chemical, and berry, delivering an even, best-of-both-worlds feel.",,,,,,,
Blueberry Banana Zkittles,Hybrid,"Blueberry Banana Zkittles is a hybrid flower with a sweet candy-fruit aroma with a calm, happy, relaxed feel.",,,,,,,
Blueberry Blitz Sourz,Hybrid,"Lush sweet, ripe blueberry gummies made with a chef’s touch — vivid fruit flavor, a melt-into-chew texture, and a cannabis infusion blended cleanly into every bite. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
